mSec,N-M,Degrees,Degrees,Deg/Sec
9810,31.7,195,60,0
9820,31.7,195,60,0
9830,31.7,195,60,0
9840,31.9,195,60,0
9850,31.9,195,60,0
9860,31.7,195,60,0
9870,31.6,195,60,0
9880,31.6,195,60,0
9890,31.6,195,60,0
9900,31.5,195,60,0
9910,31.5,195,60,0
9920,31.6,195,60,0
9930,31.6,195,60,0
9940,31.5,195,60,0
9950,31.5,195,60,0
9960,31.3,195,60,0
9970,31.3,195,60,0
9980,31.2,195,60,0
9990,31.2,195,60,0
10000,31.1,195,60,0
10010,31.2,195,60,0
10020,31.2,195,60,0
10030,31.1,195,60,0
10040,31.1,195,60,0
10050,31.2,195,60,0
10060,31.1,195,60,0
10070,31.1,195,60,0
10080,30.9,195,60,0
10090,30.9,195,60,0
10100,31.1,195,60,0
10110,31.1,195,60,0
10120,31.1,195,60,0
10130,31.1,195,60,0
10140,31.1,195,60,0
10150,31.1,195,60,0
10160,31.1,195,60,0
10170,31.1,195,60,0
10180,31.1,195,60,0
10190,31.2,195,60,0
10200,31.2,195,60,0
10210,31.2,195,60,0
10220,31.3,195,60,0
10230,31.3,195,60,0
10240,31.3,195,60,0
10250,31.2,195,60,0
10260,31.2,195,60,0
10270,31.2,195,60,0
10280,31.2,195,60,0
10290,31.1,195,60,0
10300,31.1,195,60,0
10310,31.1,195,60,0
10320,31.2,195,60,0
10330,31.2,195,60,0
10340,31.2,195,60,0
10350,31.1,195,60,0
10360,31.1,195,60,0
10370,30.9,195,60,0
10380,30.8,195,60,0
10390,30.6,195,60,0
10400,30.4,195,60,0
10410,30.2,195,60,0
10420,30.2,195,60,0
10430,30.2,195,60,0
10440,30.2,195,60,0
10450,30.2,195,60,0
10460,30.2,195,60,0
10470,30.2,195,60,0
10480,30.1,195,60,0
10490,30.1,195,60,0
10500,30,195,60,0
10510,29.8,195,60,0
10520,29.7,195,60,0
10530,29.8,195,60,0
10540,29.8,195,60,0
10550,29.8,195,60,0
10560,29.8,195,60,0
10570,29.8,195,60,0
10580,30,195,60,0
10590,30,195,60,0
10600,30.1,195,60,0
10610,30,195,60,0
10620,30,195,60,0
10630,30.1,195,60,0
10640,30.2,195,60,0
10650,30.2,195,60,0
10660,30.2,195,60,0
10670,30.2,195,60,0
10680,30.1,195,60,0
10690,30.1,195,60,0
10700,30.1,195,60,0
10710,30.1,195,60,0
10720,30.1,195,60,0
10730,30.2,195,60,0
10740,30.2,195,60,0
10750,30.4,195,60,0
10760,30.4,195,60,0
10770,30.4,195,60,0
10780,30.2,195,60,0
10790,30.1,195,60,0
